Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"9/28/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"10/12/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"10/26/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"11/9/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"11/22/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"12/7/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"12/21/2017","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"12/29/2017","Buy","Home Depot","HD","Home Depot","19.137495 shares @ 163.47437321","19.137495","3,128.49","-3,128.49","HD ESPP"
﻿,,"1/4/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"1/18/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"2/1/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"2/15/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"3/1/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"3/15/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"3/19/2018","Payment/Deposit","",,"Home Depot Produ","Transfer:[USAA CLASSIC CHECKING]",,,"127.95","HD ESPP"
﻿,,"3/23/2018","Add Shares","Home Depot","HD","Home Depot","44 shares @ 116.197183","44","5,112.68","0.00","HD ML Individual Account"
﻿,,"3/29/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"4/12/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"4/26/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
﻿,,"5/4/2018","Sell","Home Depot","HD","Home Depot","19.137465 shares @ 184.35670555","-19.137465","-3,528.12","3,528.12","HD ESPP"
﻿,,"5/7/2018","Payment/Deposit","",,"Home Depot Sl","Transfer:[USAA CLASSIC CHECKING]",,,"-3,528.12","HD ESPP"
﻿,,"5/10/2018","Payment/Deposit","",,"Home Depot Produ","ESPP",,,"228.25","HD ESPP"
