Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,13.170000,13.170000,13.170000,13.170000,12.499844,0
2022-01-04,13.160000,13.160000,13.160000,13.160000,12.490353,0
2022-01-05,13.130000,13.130000,13.130000,13.130000,12.461880,0
2022-01-06,13.120000,13.120000,13.120000,13.120000,12.452388,0
2022-01-07,13.090000,13.090000,13.090000,13.090000,12.423913,0
2022-01-10,13.070000,13.070000,13.070000,13.070000,12.404933,0
2022-01-11,13.100000,13.100000,13.100000,13.100000,12.433409,0
2022-01-12,13.100000,13.100000,13.100000,13.100000,12.433409,0
2022-01-13,13.120000,13.120000,13.120000,13.120000,12.452388,0
2022-01-14,13.050000,13.050000,13.050000,13.050000,12.385953,0
2022-01-18,12.980000,12.980000,12.980000,12.980000,12.319511,0
2022-01-19,13.000000,13.000000,13.000000,13.000000,12.338496,0
2022-01-20,12.990000,12.990000,12.990000,12.990000,12.353710,0
2022-01-21,13.030000,13.030000,13.030000,13.030000,12.391750,0
2022-01-24,13.010000,13.010000,13.010000,13.010000,12.372731,0
2022-01-25,13.000000,13.000000,13.000000,13.000000,12.363221,0
2022-01-26,12.950000,12.950000,12.950000,12.950000,12.315670,0
2022-01-27,12.970000,12.970000,12.970000,12.970000,12.334693,0
2022-01-28,12.970000,12.970000,12.970000,12.970000,12.334693,0
2022-01-31,12.960000,12.960000,12.960000,12.960000,12.325180,0
2022-02-01,12.960000,12.960000,12.960000,12.960000,12.325180,0
2022-02-02,12.980000,12.980000,12.980000,12.980000,12.344200,0
2022-02-03,12.940000,12.940000,12.940000,12.940000,12.306159,0
2022-02-04,12.860000,12.860000,12.860000,12.860000,12.230080,0
2022-02-07,12.850000,12.850000,12.850000,12.850000,12.220570,0
2022-02-08,12.820000,12.820000,12.820000,12.820000,12.192037,0
2022-02-09,12.830000,12.830000,12.830000,12.830000,12.201549,0
2022-02-10,12.730000,12.730000,12.730000,12.730000,12.106445,0
2022-02-11,12.800000,12.800000,12.800000,12.800000,12.173017,0
2022-02-14,12.730000,12.730000,12.730000,12.730000,12.106445,0
2022-02-15,12.700000,12.700000,12.700000,12.700000,12.077914,0
2022-02-16,12.710000,12.710000,12.710000,12.710000,12.087426,0
2022-02-17,12.730000,12.730000,12.730000,12.730000,12.106445,0
2022-02-18,12.750000,12.750000,12.750000,12.750000,12.125467,0
2022-02-22,12.710000,12.710000,12.710000,12.710000,12.116887,0
2022-02-23,12.650000,12.650000,12.650000,12.650000,12.059687,0
2022-02-24,12.650000,12.650000,12.650000,12.650000,12.059687,0
2022-02-25,12.660000,12.660000,12.660000,12.660000,12.069221,0
2022-02-28,12.750000,12.750000,12.750000,12.750000,12.155021,0
2022-03-01,12.820000,12.820000,12.820000,12.820000,12.221752,0
2022-03-02,12.690000,12.690000,12.690000,12.690000,12.097820,0
2022-03-03,12.720000,12.720000,12.720000,12.720000,12.126422,0
2022-03-04,12.770000,12.770000,12.770000,12.770000,12.174088,0
2022-03-07,12.700000,12.700000,12.700000,12.700000,12.107351,0
2022-03-08,12.620000,12.620000,12.620000,12.620000,12.031085,0
2022-03-09,12.590000,12.590000,12.590000,12.590000,12.002487,0
2022-03-10,12.530000,12.530000,12.530000,12.530000,11.945288,0
2022-03-11,12.520000,12.520000,12.520000,12.520000,11.935756,0
2022-03-14,12.400000,12.400000,12.400000,12.400000,11.821352,0
2022-03-15,12.410000,12.410000,12.410000,12.410000,11.830887,0
2022-03-16,12.430000,12.430000,12.430000,12.430000,11.849952,0
2022-03-17,12.450000,12.450000,12.450000,12.450000,11.869020,0
2022-03-18,12.480000,12.480000,12.480000,12.480000,11.897619,0
2022-03-21,12.380000,12.380000,12.380000,12.380000,11.802286,0
2022-03-22,12.310000,12.310000,12.310000,12.310000,11.763108,0
2022-03-23,12.370000,12.370000,12.370000,12.370000,11.820441,0
2022-03-24,12.330000,12.330000,12.330000,12.330000,11.782218,0
2022-03-25,12.260000,12.260000,12.260000,12.260000,11.715329,0
2022-03-28,12.270000,12.270000,12.270000,12.270000,11.724885,0
2022-03-29,12.330000,12.330000,12.330000,12.330000,11.782218,0
2022-03-30,12.360000,12.360000,12.360000,12.360000,11.810885,0
2022-03-31,12.370000,12.370000,12.370000,12.370000,11.820441,0
2022-04-01,12.350000,12.350000,12.350000,12.350000,11.801332,0
2022-04-04,12.360000,12.360000,12.360000,12.360000,11.810885,0
2022-04-05,12.260000,12.260000,12.260000,12.260000,11.715329,0
2022-04-06,12.220000,12.220000,12.220000,12.220000,11.677105,0
2022-04-07,12.200000,12.200000,12.200000,12.200000,11.657996,0
2022-04-08,12.150000,12.150000,12.150000,12.150000,11.610214,0
2022-04-11,12.090000,12.090000,12.090000,12.090000,11.552879,0
2022-04-12,12.120000,12.120000,12.120000,12.120000,11.581549,0
2022-04-13,12.130000,12.130000,12.130000,12.130000,11.591103,0
2022-04-14,12.050000,12.050000,12.050000,12.050000,11.514656,0
2022-04-18,12.030000,12.030000,12.030000,12.030000,11.495547,0
2022-04-19,11.970000,11.970000,11.970000,11.970000,11.438214,0
2022-04-20,12.030000,12.030000,12.030000,12.030000,11.495547,0
2022-04-21,11.950000,11.950000,11.950000,11.950000,11.445743,0
2022-04-22,11.920000,11.920000,11.920000,11.920000,11.417007,0
2022-04-25,11.960000,11.960000,11.960000,11.960000,11.455318,0
2022-04-26,12.010000,12.010000,12.010000,12.010000,11.503210,0
2022-04-27,11.950000,11.950000,11.950000,11.950000,11.445743,0
2022-04-28,11.940000,11.940000,11.940000,11.940000,11.436162,0
2022-04-29,11.880000,11.880000,11.880000,11.880000,11.378695,0
2022-05-02,11.820000,11.820000,11.820000,11.820000,11.321226,0
2022-05-03,11.840000,11.840000,11.840000,11.840000,11.340384,0
2022-05-04,11.880000,11.880000,11.880000,11.880000,11.378695,0
2022-05-05,11.800000,11.800000,11.800000,11.800000,11.302073,0
2022-05-06,11.740000,11.740000,11.740000,11.740000,11.244602,0
2022-05-09,11.780000,11.780000,11.780000,11.780000,11.282912,0
2022-05-10,11.800000,11.800000,11.800000,11.800000,11.302073,0
2022-05-11,11.840000,11.840000,11.840000,11.840000,11.340384,0
2022-05-12,11.850000,11.850000,11.850000,11.850000,11.349961,0
2022-05-13,11.800000,11.800000,11.800000,11.800000,11.302073,0
2022-05-16,11.820000,11.820000,11.820000,11.820000,11.321226,0
2022-05-17,11.760000,11.760000,11.760000,11.760000,11.263759,0
2022-05-18,11.800000,11.800000,11.800000,11.800000,11.302073,0
2022-05-19,11.810000,11.810000,11.810000,11.810000,11.311649,0
