Investing Report Created: 2023-09-09 09:22:07 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"7/17/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","628.437 shares @ 12.72999521","628.437","8,000.00","-8,000.00","z Ameritrade IRA"
﻿,,"7/30/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.177 shares @ 12.66971777","9.177","116.27","-116.27","z Ameritrade IRA"
﻿,,"7/30/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"116.27","z Ameritrade IRA"
﻿,,"8/30/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.81 shares @ 12.70952821","10.81","137.39","-137.39","z Ameritrade IRA"
﻿,,"8/30/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"137.39","z Ameritrade IRA"
﻿,,"9/27/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.47 shares @ 12.61985216","9.47","119.51","-119.51","z Ameritrade IRA"
﻿,,"9/27/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"119.51","z Ameritrade IRA"
﻿,,"10/30/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.737 shares @ 12.53045923","11.737","147.07","-147.07","z Ameritrade IRA"
﻿,,"10/30/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"147.07","z Ameritrade IRA"
﻿,,"11/29/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.587 shares @ 12.45017474","10.587","131.81","-131.81","z Ameritrade IRA"
﻿,,"11/29/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"131.81","z Ameritrade IRA"
﻿,,"12/11/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.963 shares @ 12.51298027","0.963","12.05","-12.05","z Ameritrade IRA"
﻿,,"12/11/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.464 shares @ 12.52155172","0.464","5.81","-5.81","z Ameritrade IRA"
﻿,,"12/11/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"12.05","z Ameritrade IRA"
﻿,,"12/11/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"5.81","z Ameritrade IRA"
﻿,,"12/17/2018","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","15.323 shares @ 12.46035372","15.323","190.93","-190.93","z Ameritrade IRA"
﻿,,"12/17/2018","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"190.93","z Ameritrade IRA"
﻿,,"1/15/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","795.545 shares @ 12.56999918","795.545","10,000.00","-10,000.00","z Ameritrade IRA"
﻿,,"1/30/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.987 shares @ 12.60944753","10.987","138.54","-138.54","z Ameritrade IRA"
﻿,,"1/30/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"138.54","z Ameritrade IRA"
﻿,,"2/27/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.053 shares @ 12.74039658","12.053","153.56","-153.56","z Ameritrade IRA"
﻿,,"2/27/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"153.56","z Ameritrade IRA"
﻿,,"3/28/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.145 shares @ 12.95018526","12.145","157.28","-157.28","z Ameritrade IRA"
﻿,,"3/28/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"157.28","z Ameritrade IRA"
﻿,,"4/29/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.124 shares @ 12.94952161","12.124","157.00","-157.00","z Ameritrade IRA"
﻿,,"4/29/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"157.00","z Ameritrade IRA"
﻿,,"5/30/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.232 shares @ 13.03960097","13.232","172.54","-172.54","z Ameritrade IRA"
﻿,,"5/30/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"172.54","z Ameritrade IRA"
﻿,,"6/27/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.997 shares @ 13.23997666","11.997","158.84","-158.84","z Ameritrade IRA"
﻿,,"6/27/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"158.84","z Ameritrade IRA"
﻿,,"7/29/2019","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.126 shares @ 13.2599421","13.126","174.05","-174.05","z Ameritrade IRA"
﻿,,"7/29/2019","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"174.05","z Ameritrade IRA"
﻿,,"8/28/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.515 shares @ 13.59957961","9.515","129.40","0.00","z Ameritrade IRA"
﻿,,"9/26/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.707 shares @ 13.46029747","12.707","171.04","0.00","z Ameritrade IRA"
﻿,,"10/29/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.475 shares @ 13.41002004","12.475","167.29","0.00","z Ameritrade IRA"
﻿,,"11/26/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.161 shares @ 13.48984459","12.161","164.05","0.00","z Ameritrade IRA"
﻿,,"12/17/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.322 shares @ 13.44053679","4.322","58.09","0.00","z Ameritrade IRA"
﻿,,"12/17/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.032 shares @ 13.43999275","11.032","148.27","0.00","z Ameritrade IRA"
﻿,,"12/23/2019","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","20.783 shares @ 13.37968532","20.783","278.07","0.00","z Ameritrade IRA"
﻿,,"1/3/2020","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","445.104 shares @ 13.47999569","445.104","6,000.00","-6,000.00","z Jane IRA"
﻿,,"1/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.412 shares @ 13.55847688","4.412","59.82","0.00","z Ameritrade IRA"
﻿,,"1/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.423 shares @ 13.56973995","0.423","5.74","0.00","z Jane IRA"
﻿,,"1/27/2020","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","293.686 shares @ 13.6199887","293.686","4,000.00","-4,000.00","z Jane IRA"
﻿,,"2/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.211 shares @ 13.79002539","12.211","168.39","0.00","z Ameritrade IRA"
﻿,,"2/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.946 shares @ 13.78725591","1.946","26.83","0.00","z Jane IRA"
﻿,,"3/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","8.537 shares @ 12.62035844","8.537","107.74","0.00","z Ameritrade IRA"
﻿,,"3/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.361 shares @ 12.61572373","1.361","17.17","0.00","z Jane IRA"
﻿,,"4/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.606 shares @ 13.25003966","12.606","167.03","0.00","z Ameritrade IRA"
﻿,,"4/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.009 shares @ 13.25037332","2.009","26.62","0.00","z Jane IRA"
﻿,,"5/20/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.003 shares @ 13.330001","10.003","133.34","0.00","z Ameritrade IRA"
﻿,,"5/20/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.594 shares @ 13.33124216","1.594","21.25","0.00","z Jane IRA"
﻿,,"6/24/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.078 shares @ 13.65961074","14.078","192.30","0.00","z Ameritrade IRA"
﻿,,"6/24/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.243 shares @ 13.66027642","2.243","30.64","0.00","z Jane IRA"
﻿,,"7/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.849 shares @ 13.89989861","10.849","150.80","0.00","z Ameritrade IRA"
﻿,,"7/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.729 shares @ 13.89820706","1.729","24.03","0.00","z Jane IRA"
﻿,,"8/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.085 shares @ 13.88968825","2.085","28.96","0.00","z Jane IRA"
﻿,,"8/25/2020","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","359.971 shares @ 13.89000781","359.971","5,000.00","-5,000.00","z Jane IRA"
﻿,,"8/25/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.084 shares @ 13.88948334","13.084","181.73","0.00","z Ameritrade IRA"
﻿,,"8/25/2020","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","323.974 shares @ 13.89000352","323.974","4,500.00","-4,500.00","z Ameritrade IRA"
﻿,,"9/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.871 shares @ 13.89015247","11.871","164.89","0.00","z Ameritrade IRA"
﻿,,"9/23/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.618 shares @ 13.88846448","2.618","36.36","0.00","z Jane IRA"
﻿,,"10/27/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.431 shares @ 13.85974638","14.431","200.01","0.00","z Ameritrade IRA"
﻿,,"10/27/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.182 shares @ 13.85920805","3.182","44.10","0.00","z Jane IRA"
﻿,,"11/24/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.44 shares @ 13.96940559","11.44","159.81","0.00","z Ameritrade IRA"
﻿,,"11/24/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.522 shares @ 13.96907216","2.522","35.23","0.00","z Jane IRA"
﻿,,"12/16/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.251 shares @ 13.85039455","9.251","128.13","0.00","z Ameritrade IRA"
﻿,,"12/16/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","73.989 shares @ 13.85003176","73.989","1,024.75","0.00","z Ameritrade IRA"
﻿,,"12/16/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.04 shares @ 13.84803922","2.04","28.25","0.00","z Jane IRA"
﻿,,"12/16/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.313 shares @ 13.84969043","16.313","225.93","0.00","z Jane IRA"
﻿,,"12/22/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.149 shares @ 13.82004518","18.149","250.82","0.00","z Ameritrade IRA"
﻿,,"12/22/2020","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.001 shares @ 13.82154461","4.001","55.30","0.00","z Jane IRA"
﻿,,"1/20/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.298 shares @ 13.82968823","4.298","59.44","0.00","z Ameritrade IRA"
﻿,,"1/20/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.947 shares @ 13.83315734","0.947","13.10","0.00","z Jane IRA"
﻿,,"2/19/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.966 shares @ 13.71970583","11.966","164.17","0.00","z Ameritrade IRA"
﻿,,"2/19/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.638 shares @ 13.72251706","2.638","36.20","0.00","z Jane IRA"
﻿,,"3/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.857 shares @ 13.4596233","13.857","186.51","0.00","z Ameritrade IRA"
﻿,,"3/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.055 shares @ 13.4599018","3.055","41.12","0.00","z Jane IRA"
﻿,,"4/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.602 shares @ 13.57962064","13.602","184.71","0.00","z Ameritrade IRA"
﻿,,"4/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.999 shares @ 13.57785929","2.999","40.72","0.00","z Jane IRA"
﻿,,"5/24/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.292 shares @ 13.5698015","12.292","166.80","0.00","z Ameritrade IRA"
﻿,,"5/24/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.71 shares @ 13.57195572","2.71","36.78","0.00","z Jane IRA"
﻿,,"6/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.574 shares @ 13.67981549","12.574","172.01","0.00","z Ameritrade IRA"
﻿,,"6/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.772 shares @ 13.67965368","2.772","37.92","0.00","z Jane IRA"
﻿,,"7/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.277 shares @ 13.8095626","12.277","169.54","0.00","z Ameritrade IRA"
﻿,,"7/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.707 shares @ 13.80864426","2.707","37.38","0.00","z Jane IRA"
﻿,,"8/19/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.339 shares @ 13.7922189","2.339","32.26","0.00","z Jane IRA"
﻿,,"8/19/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.611 shares @ 13.79040618","10.611","146.33","0.00","z Ameritrade IRA"
﻿,,"9/20/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.208 shares @ 13.78033547","11.208","154.45","0.00","z Ameritrade IRA"
﻿,,"9/20/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.471 shares @ 13.77984622","2.471","34.05","0.00","z Jane IRA"
﻿,,"10/21/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.672 shares @ 13.51962923","14.672","198.36","0.00","z Ameritrade IRA"
﻿,,"10/21/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.234 shares @ 13.52195424","3.234","43.73","0.00","z Jane IRA"
﻿,,"11/23/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.658 shares @ 13.45947227","12.658","170.37","0.00","z Ameritrade IRA"
﻿,,"11/23/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.79 shares @ 13.46236559","2.79","37.56","0.00","z Jane IRA"
﻿,,"12/16/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","22.522 shares @ 13.31009679","22.522","299.77","0.00","z Jane IRA"
﻿,,"12/16/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.436 shares @ 13.30779944","1.436","19.11","0.00","z Jane IRA"
﻿,,"12/16/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","102.152 shares @ 13.30996946","102.152","1,359.64","0.00","z Ameritrade IRA"
﻿,,"12/16/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.511 shares @ 13.30978344","6.511","86.66","0.00","z Ameritrade IRA"
﻿,,"12/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.843 shares @ 13.27960757","12.843","170.55","0.00","z Ameritrade IRA"
﻿,,"12/22/2021","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.831 shares @ 13.28152596","2.831","37.60","0.00","z Jane IRA"
﻿,,"1/20/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.649 shares @ 12.98995211","10.649","138.33","0.00","z Ameritrade IRA"
﻿,,"1/20/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.348 shares @ 12.98977853","2.348","30.50","0.00","z Jane IRA"
﻿,,"2/22/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.915 shares @ 12.71012007","2.915","37.05","0.00","z Jane IRA"
﻿,,"2/22/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.221 shares @ 12.71008244","13.221","168.04","0.00","z Ameritrade IRA"
﻿,,"3/22/2022","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.793 shares @ 12.30934479","2.793","34.38","-34.38","z Jane IRA"
﻿,,"3/22/2022","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"34.38","z Jane IRA"
﻿,,"3/22/2022","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.669 shares @ 12.30957455","12.669","155.95","-155.95","z Ameritrade IRA"
﻿,,"3/22/2022","Dividend Income","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","Investments:Dividend Income",,,"155.95","z Ameritrade IRA"
﻿,,"4/21/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.767 shares @ 11.95034072","12.767","152.57","0.00","z Ameritrade IRA"
