Investing Report Created: 2023-09-09 09:22:07 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"10/20/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","20.52 shares @ 10.73976608","20.52","220.38","0.00","z Ameritrade IRA"
﻿,,"11/22/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.536 shares @ 11.11998065","16.536","183.88","0.00","z Ameritrade IRA"
﻿,,"11/22/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.646 shares @ 11.11903456","3.646","40.54","0.00","z Jane IRA"
﻿,,"12/21/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.386 shares @ 11.22925149","6.386","71.71","0.00","z Jane IRA"
﻿,,"12/21/2022","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","28.961 shares @ 11.22992991","28.961","325.23","0.00","z Ameritrade IRA"
﻿,,"1/19/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.365 shares @ 11.53424658","0.365","4.21","0.00","z Jane IRA"
﻿,,"1/19/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.656 shares @ 11.52173913","1.656","19.08","0.00","z Ameritrade IRA"
﻿,,"2/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.608 shares @ 11.18978805","16.608","185.84","0.00","z Ameritrade IRA"
﻿,,"2/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.661 shares @ 11.19093144","3.661","40.97","0.00","z Jane IRA"
﻿,,"3/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.241 shares @ 11.28009359","16.241","183.20","0.00","z Ameritrade IRA"
﻿,,"3/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.581 shares @ 11.27897235","3.581","40.39","0.00","z Jane IRA"
﻿,,"4/14/2023","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","702.371 shares @ 11.3899919","702.371","8,000.00","-8,000.00","z Jane IRA"
﻿,,"4/20/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","17.09 shares @ 11.34991223","17.09","193.97","0.00","z Ameritrade IRA"
﻿,,"4/20/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","5.892 shares @ 11.34928717","5.892","66.87","0.00","z Jane IRA"
﻿,,"5/23/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.532 shares @ 11.20008634","18.532","207.56","0.00","z Ameritrade IRA"
﻿,,"5/23/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.388 shares @ 11.20068879","6.388","71.55","0.00","z Jane IRA"
﻿,,"6/20/2023","Buy","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","443.262 shares @ 11.28001047","443.262","5,000.00","-5,000.00","z Ameritrade IRA"
﻿,,"6/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.588 shares @ 11.25026899","18.588","209.12","0.00","z Ameritrade IRA"
﻿,,"6/21/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","5.945 shares @ 11.24978974","5.945","66.88","0.00","z Jane IRA"
﻿,,"7/20/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","19.251 shares @ 11.23993559","19.251","216.38","0.00","z Ameritrade IRA"
﻿,,"7/20/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.157 shares @ 11.23923989","6.157","69.20","0.00","z Jane IRA"
﻿,,"8/17/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","5.592 shares @ 10.99964235","5.592","61.51","0.00","z Jane IRA"
﻿,,"8/17/2023","Reinvest Dividend","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","17.485 shares @ 10.99971404","17.485","192.33","0.00","z Ameritrade IRA"
﻿,,"9/5/2023","Remove Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6,187.133 shares @ 11.06","-6,187.133","-68,429.69","0.00","z Ameritrade IRA"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.849 shares @ 13.89989861","10.849","150.80","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.198 shares @ 11.30023218","11.198","126.54","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","20.783 shares @ 13.37968532","20.783","278.07","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.871 shares @ 13.89015247","11.871","164.89","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.003 shares @ 13.330001","10.003","133.34","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","7.612 shares @ 12.79952706","7.612","97.43","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","73.989 shares @ 13.85003176","73.989","1,024.75","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","15.486 shares @ 11.84037195","15.486","183.36","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.177 shares @ 12.66971777","9.177","116.27","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.322 shares @ 13.44053679","4.322","58.09","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.524 shares @ 12.99071618","4.524","58.77","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","8.537 shares @ 12.62035844","8.537","107.74","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.707 shares @ 13.46029747","12.707","171.04","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.611 shares @ 13.79040618","10.611","146.33","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","102.152 shares @ 13.30996946","102.152","1,359.64","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.608 shares @ 11.18978805","16.608","185.84","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.078 shares @ 13.65961074","14.078","192.30","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.588 shares @ 11.25026899","18.588","209.12","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.587 shares @ 12.45017474","10.587","131.81","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.669 shares @ 12.30957455","12.669","155.95","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","7.47 shares @ 12.81927711","7.47","95.76","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.042 shares @ 11.51972653","14.042","161.76","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.232 shares @ 13.03960097","13.232","172.54","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.536 shares @ 11.11998065","16.536","183.88","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.221 shares @ 12.71008244","13.221","168.04","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.464 shares @ 12.52155172","0.464","5.81","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.532 shares @ 11.20008634","18.532","207.56","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.053 shares @ 12.74039658","12.053","153.56","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","8.172 shares @ 12.69946158","8.172","103.78","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.843 shares @ 13.27960757","12.843","170.55","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.277 shares @ 13.8095626","12.277","169.54","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.298 shares @ 13.82968823","4.298","59.44","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","20.52 shares @ 10.73976608","20.52","220.38","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.431 shares @ 13.85974638","14.431","200.01","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","28.961 shares @ 11.22992991","28.961","325.23","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.47 shares @ 12.61985216","9.47","119.51","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.737 shares @ 12.53045923","11.737","147.07","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.658 shares @ 13.45947227","12.658","170.37","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","16.241 shares @ 11.28009359","16.241","183.20","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.032 shares @ 13.43999275","11.032","148.27","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","18.149 shares @ 13.82004518","18.149","250.82","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.251 shares @ 13.85039455","9.251","128.13","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.145 shares @ 12.95018526","12.145","157.28","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.292 shares @ 13.5698015","12.292","166.80","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","17.485 shares @ 10.99971404","17.485","192.33","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.606 shares @ 13.25003966","12.606","167.03","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.997 shares @ 13.23997666","11.997","158.84","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","795.545 shares @ 12.56999918","795.545","10,000.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.81 shares @ 12.70952821","10.81","137.39","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","443.262 shares @ 11.28001047","443.262","5,000.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.161 shares @ 13.48984459","12.161","164.05","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.857 shares @ 13.4596233","13.857","186.51","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","323.974 shares @ 13.89000352","323.974","4,500.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","14.672 shares @ 13.51962923","14.672","198.36","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.126 shares @ 13.2599421","13.126","174.05","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1,918.649 shares @ 13.03000184","1,918.649","25,000.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","15.323 shares @ 12.46035372","15.323","190.93","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.475 shares @ 13.41002004","12.475","167.29","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","9.515 shares @ 13.59957961","9.515","129.40","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.767 shares @ 11.95034072","12.767","152.57","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.124 shares @ 12.94952161","12.124","157.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.987 shares @ 12.60944753","10.987","138.54","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.574 shares @ 13.67981549","12.574","172.01","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1,010.886 shares @ 12.86000597","1,010.886","13,000.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.418 shares @ 11.69995528","13.418","156.99","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","7.532 shares @ 12.66994158","7.532","95.43","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","10.649 shares @ 12.98995211","10.649","138.33","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","19.251 shares @ 11.23993559","19.251","216.38","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.511 shares @ 13.30978344","6.511","86.66","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","628.437 shares @ 12.72999521","628.437","8,000.00","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.208 shares @ 13.78033547","11.208","154.45","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","8.566 shares @ 12.77025449","8.566","109.39","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.602 shares @ 13.57962064","13.602","184.71","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.44 shares @ 13.96940559","11.44","159.81","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","11.966 shares @ 13.71970583","11.966","164.17","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.964 shares @ 11.63993125","13.964","162.54","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.656 shares @ 11.52173913","1.656","19.08","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","12.211 shares @ 13.79002539","12.211","168.39","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.963 shares @ 12.51298027","0.963","12.05","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.412 shares @ 13.55847688","4.412","59.82","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","13.084 shares @ 13.88948334","13.084","181.73","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","17.09 shares @ 11.34991223","17.09","193.97","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Remove Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1,978.673 shares @ 11.06","-1,978.673","-21,884.12","0.00","z Jane IRA"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.243 shares @ 13.66027642","2.243","30.64","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.361 shares @ 12.61572373","1.361","17.17","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.522 shares @ 13.96907216","2.522","35.23","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.079 shares @ 11.6401429","3.079","35.84","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.365 shares @ 11.53424658","0.365","4.21","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.085 shares @ 13.88968825","2.085","28.96","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","445.104 shares @ 13.47999569","445.104","6,000.00","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.469 shares @ 11.30012151","2.469","27.90","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","4.524 shares @ 10.74049514","4.524","48.59","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.594 shares @ 13.33124216","1.594","21.25","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.618 shares @ 13.88846448","2.618","36.36","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","1.946 shares @ 13.78725591","1.946","26.83","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.04 shares @ 13.84803922","2.04","28.25","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.793 shares @ 12.30934479","2.793","34.38","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","5.945 shares @ 11.24978974","5.945","66.88","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.055 shares @ 13.4599018","3.055","41.12","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.661 shares @ 11.19093144","3.661","40.97","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","6.386 shares @ 11.22925149","6.386","71.71","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.095 shares @ 11.52180937","3.095","35.66","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","0.947 shares @ 13.83315734","0.947","13.10","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.638 shares @ 13.72251706","2.638","36.20","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.999 shares @ 13.57785929","2.999","40.72","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.831 shares @ 13.28152596","2.831","37.60","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","2.815 shares @ 11.95026643","2.815","33.64","0.00","Schwab Contributory IRA Jane"
﻿,,"9/5/2023","Add Shares","USAA Mutual Fds Tr Income Fund","USAIX","USAA Mutual Fds Tr Income Fund","3.581 shares @ 11.27897235","3.581","40.39","0.00","Schwab Contributory IRA Jane"
