Investing Report Created: 2023-09-09 09:22:07 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"12/10/2020","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Ameritrade IRA"
﻿,,"12/10/2020","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Jane IRA"
﻿,,"3/11/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Ameritrade IRA"
﻿,,"3/11/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Jane IRA"
﻿,,"6/10/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Ameritrade IRA"
﻿,,"6/10/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Jane IRA"
﻿,,"9/9/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Ameritrade IRA"
﻿,,"9/9/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"56.00","z Jane IRA"
﻿,,"12/9/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Ameritrade IRA"
﻿,,"12/9/2021","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Jane IRA"
﻿,,"3/10/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Ameritrade IRA"
﻿,,"3/10/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Jane IRA"
﻿,,"6/9/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Jane IRA"
﻿,,"6/9/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Ameritrade IRA"
﻿,,"9/8/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Jane IRA"
﻿,,"9/8/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"62.00","z Ameritrade IRA"
﻿,,"12/8/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Ameritrade IRA"
﻿,,"12/8/2022","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Jane IRA"
﻿,,"3/9/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Ameritrade IRA"
﻿,,"3/9/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Jane IRA"
﻿,,"6/8/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Jane IRA"
﻿,,"6/8/2023","Dividend Income","Microsoft Corp","MSFT","Microsoft Corp","Investments:Dividend Income",,,"68.00","z Ameritrade IRA"
﻿,,"9/5/2023","Remove Shares","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 333.55","-100","-33,355.00","0.00","z Ameritrade IRA"
﻿,,"9/5/2023","Add Shares","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 50.0999","100","5,009.99","0.00","Schwab Rollover IRA Keith"
﻿,,"9/5/2023","Remove Shares","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 333.55","-100","-33,355.00","0.00","z Jane IRA"
﻿,,"9/5/2023","Add Shares","Microsoft Corp","MSFT","Microsoft Corp","100 shares @ 48.4999","100","4,849.99","0.00","Schwab Contributory IRA Jane"
