Investing Report Created: 2023-06-17 07:27:43 -0400
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"7/9/1999","Buy","Starbucks","SBUX","Starbucks","20 shares @ 25.25","20","513.00","-513.00","Ameritrade IRA"
﻿,,"2/4/2000","Sell","Starbucks","SBUX","Starbucks","20 shares @ 32.5625","-20","-643.22","643.22","Ameritrade IRA"
Net Total:,  19524.68
